Protocol,avg_tvl_2024,avg_tvl_2025,growth_percentage
Ethena,486061182.13,5754201642.94,1083.84
Maple,52315839.13,329042297.06,528.95
Aave,8691896365.67,19644712330.55,126.01
EigenLayer,6632600044.2,11824702422.92,78.28
Compound,2533800787.8,2591597780.78,2.28
Uniswap,4876057261.5,4952841748.46,1.57
Curve,2291344769.24,2092603020.85,-8.67
Lido,28254259561.04,25512082538.78,-9.71
